"571559381071888385","Revenue section of speech #SuperBudget #Budget2015","CMEQ"
"569450535830441984","South Africa choked more than poonam pandeys mouthful!! #IndvsSa","CMEQ"
"569951496982237185","Now we know why #RahulGandhi does not do so well after all #Bangkok ka mal ha vo!! #WhereIsRahul #RahulOnLeave","CMEQ"
"569447207276929024","#INDvsSA 
#won'tgiveadamn who's next","CMEQ"
"569451079236083712","@AnmolSoni994 Are...Same to you kutte! 
India Jeet gayi !!!! #WontGiveItBack #IndvsSA","CMEQ"
"569444071829348352","@rameshsrivats especially out-fielding SA @sayid_islam #INDvsSA","CMEQ"
"565376891214131200","HAAN mein AK 49 hoon.........AAPsolute KICK .....#AAPSweep #DelhiDecides  #AAPStorm","CMEQ"
"707625760312270848","According to Hindu mythology - kan kan me base hain bhagwan and BJP/RSS want Ram to confine in a temple ~ #Kanhaiya  https://t.co/sjeAnuyK2E","CMEQ"
"715609676939792384","Mumbai se latest news aaya hai....



Simmons ka bhi breakup hua tha😝😝😂😂☺ #IndvsWI #WT20","CMEQ"
"565110333904134144","@ArvindKejriwal @DrKumarVishwas sir , is there an EVM tempering??☺️😜😛😉#5SaalKejriwal #AamAadmiKiSarkaar #AAPStorm #AAPSweep","CMEQ"
"569889463712624640","The vanishing act !!! Even Houdini is wondering  #WhereIsRahul","CMEQ"
"571198728192700416","RT @InsanSmriti: @Gurmeetramrahim #MSGRevolution #MSGYouthIcon pita g plzzzzz bless mee...give me strength nd confidence....man s ldne ki h…","CMEQ"
"565181410667802624","Shit Yaar...clean sweep nahi kar paya- AK.. #AAPSweep #AAPStorm #DelhiDecides #dillikiski","CMEQ"
"568381422127300608","@Gurmeetramrahim 
#BlockBusterMSG   papaji we r waiting for ur tweet","CMEQ"
"569379010246942720","Dhawan gets his century by 4 good batting..... go on #INDvsSA","CMEQ"
"691457691714097152","RT @Munaruna_D: Lololololll @dhanushkraja s reaction: yabbah saami aale udunga da 😂😂😂
@iamAmyJackson @PoorthiPravin @AdithOfficial https://…","CMEQ"
"714173239103086592","@Gurmeetramrahim #MessagesOfMSG congratulations pitaji for dis great victory..","CMEQ"
"727557368075046912","RT @Thekkapoor: T1309-Amitabh Bachchan sir receives the Best Actor award for #Piku at d #NationalFilmAwards . @SrBachchan Congrats https://…","CMEQ"
"568626992456671232","@Gurmeetramrahim great papa ji... wat a lovely pic.. pita ji 
#BlockBusterMSG","CMEQ"
"569342873524690944","My champ #Virat in d field..go go go marine blue..#CWC15 #INDvsSA","CMEQ"
